name,slug,description,benefits,eligibility_criteria,application_process,documents_required,official_link,level,status,source,target_gender,min_age,max_age,target_social_category,target_income_max,is_disability,is_student,is_bpl,featured,benefit_type,helpline,launch_date,application_deadline
Distribution of Vegetable Seeds Minikit & Fruits Minikit at Free of Cost,dvsmfmfc,"“Distribution of Vegetable Seeds Minikit & Fruits Minikit at Free of Cost"" was launched by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. All the horticulture growers of rural & urban areas are provided with vegetable seeds minikit & fruits minikit worth ₹250/‐ free of cost.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
District Plan: Inter-Village Road Construction Scheme on Contributory Basis,dpivrcscb,The scheme aims to facilitate the easy and timely transportation of sugarcane from farms to purchasing centers and sugar mills by improving inter-village road connectivity in sugarcane-growing areas.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
District Plan - Sugarcane Development Scheme,dpsds,"The scheme aims to enhance sugarcane productivity & quality in Uttarakhand by providing financial & technical support to farmers for improved seed production, seed & soil treatment, pest & disease management, thereby promoting sustainable farming & strengthening the livelihoods of sugarcane growers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Dr. Bhimrao Ambedkar Kamdhenu Yojana,dbaky,"The scheme aims to provide business opportunities in the dairy sector especially to unemployed youths, increase milk production, strengthen economic condition and farmers will get economic benefits even in adverse circumstances.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Drip Irrigation Sprinkler,dsuk,The scheme aims to promote efficient and sustainable irrigation for horticultural crops by providing farmers with modern irrigation systems and financial subsidies to enhance productivity and water conservation.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Drip Sanyantr,dsr,"Under the Drip Sanyantr scheme, the government gives subsidies to farmers. There is an immense saving of water in this method. Under this method, water is applied drop by drop to the roots of the plants and wastage of water will negligible.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Dugdh Mulya Protsahan Yojana,dmpy,The scheme aims to encourage milk production and ensure fair remuneration to cattle farmers by providing financial incentives based on the quality of milk supplied to cooperative societies.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Establishment of 12 Milch Animal Farm,etmaf,"The ""Establishment of 12 Milch Animal Farm"" scheme introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, supports livestock owners in establishing dairy farms with up to 12 milch animals.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Establishment of 1 to 20 Milch Animal Farm,eotmaf,"The ""Establishment of 1 to 20 Milch Animal Farm"" scheme introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, provides financial assistance in the form of an interest subsidy to livestock farmers to take up animal husbandry as a sustainable business.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Establishment of 50 Milch Animals Dairy Unit,emadu,"The ""Establishment of 50 Milch Animals Dairy Unit"" scheme introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to provide financial aid to livestock owners for setting up dairy farms, ensuring sustainable dairy production.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Establishment of Broiler Farms,ebfuk,"The scheme aims to promote commercial broiler rearing by providing financial assistance in the form of subsidies for poultry rearing and infrastructure development, thereby enhancing income generation and employment opportunities, especially for women and self-help groups (SHGs).",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Establishment of Cow Shelters,gksu,"The scheme aims to provide proper shelter and care to unprofitable, abandoned, or roaming cattle by supporting eligible organizations in establishing and maintaining cow shelters with financial assistance from the state government.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Establishment of Entrepreneur for Breed Development in Small Ruminant Sector (Sheep and Goat Farming),eebdsrs,"The scheme for the ""Establishment of Entrepreneurs for Breed Development in the Small Ruminant Sector (Sheep and Goat Farming)"" falls under the Sub-mission on Breed Development of Livestock and Poultry. The Entrepreneurs / Eligible Entities can establish sheep and goat breeding unit.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Establishment of Goat Unit (10 +1),eogu,"The ""Establishment of Goat Unit (10+1)"" scheme by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to promote the social and economic upliftment of goat breeders by encouraging goat breeding and genetic improvement through pure breeding.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Establishment of Poultry Valley,kgsuk,"The scheme aims to promote sustainable and organized poultry farming among cooperative society members, especially women, by providing financial and technical support for poultry rearing, thereby enhancing income generation and livelihood opportunities in the state.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Establishment of Regional Semen Production Laboratory and Semen Bank for sheep and goat,ersplsbsg,"Under the Establishment of Regional Semen Production Laboratory and Semen Bank for Sheep and Goat Scheme, the Central Government will provide assistance for the establishment of frozen semen production laboratories for goats and liquid semen production laboratories for sheep at the regional level.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Establishment of Vermicompost Units,evcu,The scheme aims to promote sustainable agriculture and organic farming by providing financial assistance for setting up vermicompost units to farmers and women self-help groups.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Exhibition Fair and Publicity,efap,"The scheme aims to promote departmental schemes and disseminate information about the technology of fruit, flower, vegetable, and spice crops to farmers through exhibitions and seminars organized at the district and block levels.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Facilitation of Large Size Godowns in APMC and Taluka-District Purchase Sale Union (General),flsgdpsug,"The scheme aims to strengthen the financial status of district and taluka-level cooperative buying and selling unions by supporting infrastructure projects like storage godowns, marketing facilities, and branding units.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Fal Podharopan Yojana,fpy,The objective of this scheme is to expand the area under fruit plantation in the district and increase the fruit production. This scheme is implemented in all the 52 districts of the state.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Farmers Accidental Insurance Scheme,fais,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to provide financial assistance to the families of registered farmers in the event of accidental death or disability.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Farmers Interest Group (FIG),fig,"The “Farmers Interest Group (FIG)” scheme supports every group of 15 farmers with grants for agricultural development. The scheme offers assistance for office equipment, training, ID cards, and district-level meetings.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Farmers Training,ft,"The “Farmers Training” scheme provides financial assistance for training sessions involving up to 50 farmers or agricultural laborers per cluster.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Farmers Training Institute Scheme,ftis,The objective of the scheme is to provide training to farmers at the village level on updated and innovative agriculture technology. The Training Institute facilitates exposure visits for farmers to agriculturally advanced states.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Farm Machinery Bank (FMB)/Farm Machinery Hub (FMH),fmh,"“Farm Machinery Bank (FMB)/Farm Machinery Hub (FMH)”  by the Agriculture Department, Government of West Bengal aims to facilitate end-to-end (from land development to residue management) use of farm machinery which can be within the reach of the small and marginal farmers at reasonable charges.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Farm Pond (Khet Talai) Nirman Karyakram,fpktnk,Under the Farm Pond (Khet Talaee) Nirmaan Kaaryakram scheme provied to help the farmers of Rajasthan to collect rain water and use it for irrigation purposes so that the farmers can get sufficient water for irrigation in their fields.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Farm Storage Structure Scheme,fsss,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to help farmers to protect their harvested crops from damage due to natural calamities and store them safely for better financial returns by selling at optimal prices.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Fasal Pradarshan,fp,"Under this scheme, the Agriculture Department organizes field and crop demonstrations to showcase advanced crop production methods and the latest technologies to farmers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Fawara Sanyantra,fsr,"Under the Fawara Sanyantra Through this scheme, the government will provide subsidies to farmers to install sprinkler plants. This will save water and farmers will also be able to irrigate their fields through sprinklers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Feed And Fodder Entrepreneurship Scheme,ffes,"It was launched by Union Government in 2014, and focused on supporting farmers in producing fodder from non-forest wasteland/grassland and cultivating coarse grains",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Feed Based Fisheries Scheme,fbfs,"The ""Feed Based Fisheries Scheme"" by the Agriculture, Animal Husbandry & Cooperation Department, Government of Jharkhand aims to enhance fish production through feed-based fisheries. This scheme provides financial assistance to fish farmers in the form of grants for fish feed to improve production.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Feed The Seed,feed-the-seed,"The ""Feed for Seed"" program is an initiative launched by the Government of Telangana in India, aimed at promoting agriculture and supporting farmers in the state. The program is designed to encourage farmers to produce their own seeds by providing them with free, high-quality seeds of various crops.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Finance Assistant to PACS for Computerization and Integration of PACS through Core Banking System with District Cooperative Banks,facipcd,"The scheme provides financial assistance to Primary Agricultural Credit Societies (PACS) for computerization and integration with District Cooperative Banks (DCCBs) through a Core Banking System (CBS), enhancing rural banking infrastructure and digital access.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance for Construction/ Purchase of Wooden/ FRP Fishing Vessel (Canoe) for Fishermen,facpwfrpfvcf,"Through this scheme, 50% of the actual cost of the Wooden/ Fiber-Reinforced Plastic (FRP) Fishing Vessel (Canoe) purchased by the fishermen is covered by the Government of Goa. The applicant will be entitled to a subsidy grant once every four years on one craft per family household.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance for Purchase of Barrier Net and its Accessories,fapbnia,"“Financial Assistance for Purchase of Barrier Net and its Accessories” is a scheme by Dept. of Fisheries, Govt. of Goa. Under this Scheme financial assistance is provided as a subsidy on the purchase of barrier nets and accessories for the fishermen. The applications are accepted offline.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance for Purchase of Fuel (Petrol) to the Fishermen for Operation of Out Board Motors,fapfpfoobm,"The scheme “Financial Assistance for Purchase of Fuel (Petrol) to the Fishermen for Operation of Out Board Motors” is a scheme by the Department of Fisheries, Government of Goa. Through this scheme, a subsidy of ₹30 per Litre on a maximum consumption of 1700 Litre of Petrol is provided to fishermen.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance for Purchase of Stake Net and its Accessories,fapsna,"“Financial Assistance for Purchase of Stake Net and its Accessories” is a scheme by the Dept. of Fisheries, Govt. of Goa. Under this scheme, financial assistance is provided in the form of a subsidy on the purchase of stake nets and accessories for the fishermen.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance for Registered Fishermen Society,farfs,"Through this scheme, the fisheries co-operative societies/associations registered with the Fisheries Co-operative Societies, having more than 25 members, will be eligible for financial assistance to the extent of ₹50,000 as a grant-in-aid. The applications are accepted only in offline mode.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance for Setting up Crab Culture Unit,fasuccu,"Through this scheme, financial assistance of 25% of the actual cost, limited to ₹1,50,000 per hectare is provided to eligible fishermen for setting up crab culture unit. Only Fish Farmer/ Individual/ Registered Self Help Group/ Societies, interested in the setting up of the Crab Farming Unit.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance for setting up of Ornamental Fish Unit in Goa,fasuofug,"“Financial Assistance for setting up of Ornamental Fish Unit in Goa” is a scheme by the Dept. of Fisheries, Govt. of Goa. Through this scheme, financial assistance is provided to eligible fishermen for setting up Breeding Units and Rearing Units. The applications are accepted only in offline mode.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen,fapllf,"“Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen” is a scheme by the Dept. of Fisheries, Govt. of Goa. Through this scheme, financial assistance amounting to ₹50% is provided by the Government to eligible fishermen for the Purchase of Lifejackets and Lifebuoys.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance to Boat owner / Fishermen Captured by Pakistan Marine Security Agency (PMSA),fabofpak,"The scheme aims to help the families of the fishermen affected due to captured by Pakistani Marine Security Agency. Under this scheme, daily assistance, repatriation allowances, and vessel reconstruction subsidies are provided.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance to Brackish Water Aquaculture Farms,fabwaf,"Through this scheme, financial assistance is provided to eligible fishermen for the construction and renovation of the Farm, for the purchase of farming equipment, and for the purchase of feed. Only the farmers having a water spread area of 2 hectares or less can apply to this scheme.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance to Fishermen Affected by Natural Calamities / Accident,fafnc,"The scheme aims to provide financial support to fishermen and their families in cases of death due to natural calamities or accidents, or in situations where fishermen are held captive by Pakistani authorities.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance To Fishermen For Purchase of Fisheries Requisites (Gill Net/ River Gill Net with Accessories),fafpfrgnrgnwa,"“Financial Assistance To Fishermen For Purchase of Fisheries Requisites” is a scheme by the Department of Fisheries, Government of Goa. Through this scheme, a 50% subsidy is provided to the fishermen of Goa for the purchase of fisheries requisites (gill nets with accessories).",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance to Fresh Water Aquaculture Farms,fafwaf,"“Financial Assistance to Fresh Water Aquaculture Farms” is a scheme by the Dept. of Fisheries, Govt. of Goa. Through this scheme, financial assistance is provided to eligible fishermen for the construction and renovation of the Farm, for the purchase of farming equipment, and the purchase of feed.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance to Mussel Culture and Oyster Farming in Goa,famcofg,"“Financial Assistance to Mussel Culture and Oyster Farming in Goa” is a scheme by the Dept. of Fisheries, Govt. of Goa. Through this scheme, financial assistance is provided to eligible fishermen for setting up units in estuarine waters, and in open sea. Only offline applications are accepted.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance to Purchase/Construct New Fishing Craft less than 26 feet for Fishing in Inland Waters of Goa,fapcnfclt26ffiw,"The scheme has been introduced to uplift the sizeable community of traditional Fishermen, by providing them financial help in the form of subsidy on the construction/ purchase of Fishing Craft less than 26 feet for fishing in inland waters of Goa. The applications are accepted only in offline mode.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe,fatpomo2t5ffttfc,"“Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe” is a scheme by the Department of Fisheries, Government of Goa. This Scheme has been introduced to grant financial assistance in the form of a subsidy on the purchase of an outboard motor of 2HP to 5HP.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance to Take up Value Addition to Seafood,fatuvas,"Through this scheme, individuals who have been residents of Goa for the last 15 years, and are interested in setting up a unit for value-added fisheries products are provided financial assistance as a subsidy of 50% of the cost for the Construction or Renovation of the Unit/ Purchase of Equipment.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Assistance to the Fish Vendors Registered with the Directorate of Fisheries to Purchase the Accessories Required for Fish Vending,fafvrdfparfv,"Under this scheme, Financial Assistance is provided to the fish vendors for the purchase of Crates, Weighing Balance, Insulated Box, Gloves, Stools, Platforms to keep Fish/ Shed/ Umbrella, Choppers, and Other Equipment, so that the fish can reach the people in hygienic conditions.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"""Financial Grant for Reactivation of Mechanised Boats"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",fgrmb-faascdmf,"The scheme ""Financial Grant for Reactivation of Mechanised Boats"" is introduced by the Govt of Puducherry with the objective of increasing marine fish production by extending financial grants for the reactivation of wooden/steel mechanized boats.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Financial Support Scheme for Farm Mechanization (FSSM),fssm,"""Financial Support Scheme for Farm Mechanization (FSSM)"" by the Agriculture Department, Government of West Bengal aims to provide financial support as subsidy to the small and marginal farmers of the State for purchase of power operated farm equipment/ machinery.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Fisheries Training and Extension Programme,ftep,"The scheme aims to support fishermen attending training programmes. Through this scheme, stipend and travelling allowance or daily allowance are provided to fishermen during training.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Fishermen Accident Relief Scheme,fars,"The ""Fishermen Accident Relief Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to support the families of Gujarat's active fishermen by offering monetary compensation in case of accidental fatalities.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Fish Extension, Research, and Training Scheme",ferts,"The Fish Extension, Research, and Training Scheme by the Department of Fisheries, Government of India aims to promote sustainable fishing practices and improve fish production. Through this scheme, financial and technical assistance are provided to fish farmers and others in the fisheries sector.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Fish Farming Diversification (Scheduled Caste / Scheduled Tribe) Scheme,ffds,The scheme aims to promote economic empowerment and livelihood diversification among Scheduled Caste and Scheduled Tribe communities through fisheries-based activities.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
"""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",wrflsncs-fbps,"The scheme ""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced with the objective of assisting fishermen families who are deprived of income during natural calamities and fishing ban periods.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Fish Marketing Scheme,fms,"The scheme ""Fish Marketing Scheme"" by the Fisheries Division, Government of Jharkhand, provides financial support for fish marketing and transportation. Beneficiaries receive subsidies for four-wheeler transport vans and equipment for aquarium shops.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Floriculture Development Scheme,fcds,The objective of the scheme is to motivate the farmers to take up floriculture (traditional and non-traditional flowers) as a commercial venture through the distribution of planting materials and other inputs.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Flower Area Expansion,faeuk,"The scheme aims to promote and expand flower cultivation by providing cultivators in Uttarakhand access to quality flower planting material at a subsidized cost, thereby increasing flower production and enhancing farmers’ income.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Flower Development (Demonstration),fdd,"The scheme aims to promote flower cultivation through demonstrations of major flowers like rose, tuberose, and marigold by providing financial assistance to farmers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
FOCUS Scheme (Farmers Collectivization For Upscaling Production and Marketing System),focuss,"The objective of the FOCUS Scheme is to strengthen farmer groups, increase production, and improve market access to enhance farmers’ income.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Fodder Development Scheme For Gram Panchayat, Gaushala And Panjarpol Having Gauchar Land",fdsgpgp,This scheme provides financial assistance for the development and improvement of gauchar (pasture) land to promote green fodder cultivation and ensure better health and productivity of cattle. ,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Fodder Minikits under Integrated Fodder Development Scheme (General Category),fmuifdsgc,"The scheme “Fodder Minikits under Integrated Fodder Development Scheme” is implemented by the Directorate of Animal Husbandry, Government of Gujarat to provide an improved variety of fodder seeds to beneficiaries for widespread publicity, demonstration, and adaptation by farmers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Fodder Minikits under Schedule Castes Sub Plan (SC Category),fmscspscc,"The scheme “Fodder Minikits under Schedule Castes Sub Plan” is implemented by the Directorate of Animal Husbandry, Government of Gujarat to provide an improved variety of fodder seeds to Scheduled Castes beneficiaries for widespread publicity, demonstration, and adaptation by farmers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Fodder Minikits under Tribal Area Sub Plan (TASP) Scheme (ST Category),fmtaspsstc,"The scheme “Fodder Minikits under Tribal Area Sub Plan (TASP) Scheme” is implemented by the Directorate of Animal Husbandry, Government of Gujarat to provide an improved variety of fodder seeds to Scheduled Tribe beneficiaries for widespread publicity, demonstration, and adaptation by farmers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Food Processing and Value Addition Management,fpvam,"The scheme aims to promote the establishment of food processing units in Uttarakhand, enhance value addition in agricultural and horticultural products, support entrepreneurs with financial assistance, and strengthen the state’s food processing ecosystem.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Formation Scheme of JHASCOFISH,fsjhascofish,"The “Formation Scheme of JHASCOFISH” by the Department of Animal Husbandry and Fisheries, Government of Jharkhand, aims to support fishermen cooperatives and enhance fish production. It provides financial aid, technical support, and welfare benefits to fishermen.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Fruit Area Expansion,fae,"The scheme aims to increase fruit production by encouraging farmers to establish new orchards, providing fruit plants at a 50% subsidy to support the expansion of fruit cultivation across Uttarakhand.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Fruit Development Scheme,fds,The objective of the scheme is to make available to the farmers good quality planting materials in convergence mode and sale at subsidized rates.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Fruit Processing Centre,fpc,"The objective of scheme is to disseminate technical knowhow to youth entrepreneurs, farmers & housewives through practical demonstration on importance of fruit preservation & to manufacture quality processed fruit products such as Squashes, Jams, Jelly & Juices under trade name ‘Meg Fruits Product'.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Gau Palan Yojana,gpyuk,"The scheme aims to promote cow rearing among eligible Scheduled Caste and Scheduled Tribe beneficiaries, enhancing their livelihood and income generation by providing financial support for cow rearing units.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Gausevak Training (Initial and Refresher),gtiar,"The scheme ""Gausevak Training (Initial and Refresher)"" aims to empower educated unemployed rural youth with self-employment opportunities and the skills to provide primary veterinary services in remote rural areas. A 100% stipend of ₹6,000 for initial training and ₹500 for refresher training.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Generator Subsidy-Tamil Nadu,gstn,"The “Generator Subsidy” scheme provides a 25% subsidy on the cost of generator sets up to 125 KVA capacity for manufacturers in Tamil Nadu.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Goat Rearing Scheme,grsguj,"The scheme aims to increase the income and raise the living standards of tribal women beneficiaries. Through this scheme, financial assistance is provided for setting up goat units.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Goat Unit Scheme On Grants And Bank Loans,gusgbl,"The scheme provides financial support through grants and bank loans to farmers to purchase (10+1) goat units for milk and meat production. The scheme covers a 40% subsidy for general applicants and 60% for SC/ST beneficiaries, based on a total unit cost of ₹77,456/-.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Goa Value Added Tax-Based Subsidy on H.S.D. Oil Consumed by Fishing Vessels Scheme,gvatbshsdocfvs,"“Goa Value Added Tax-Based Subsidy on H.S.D. Oil Consumed by Fishing Vessels Scheme” is a scheme by the Department of Fisheries, Govt. of Goa. Through this scheme, the amount equivalent to the actual VAT paid shall be reimbursed to the owner as a subsidy on H.S.D. Oil consumed by the fishing vessel.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Godhan Nyay Yojana,gny,"Godhan Nyay Yojana is a scheme launched by the Government of Chhattisgarh on 20 July 2020. Under this scheme, cow dung will be purchased by the state government from the cattle-rearing farmers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Godhan Nyay Yojana (Chhattisgarh),godhan-nyay-yojana-chhattisgarh,"Scheme to purchase cow dung from cattle owners and farmers in Chhattisgarh for vermicompost production, providing additional income.",Rs. 2 per kg of cow dung purchased by government. Additional income for cattle owners. Vermicompost production and sale.,Cattle owners and farmers in Chhattisgarh. Linked to Gauthans (cattle sheds) in villages.,Sell cow dung at nearest Gauthan collection center. Payment credited to bank account.,Aadhaar Card. Bank account details.,,state,active,embedded,"{male,female,transgender}",,,,,,,,f,,,,
Gomantak Govsamvardhan Yojana,ggy-goa,The scheme aims to support the conservation and rearing of Local Breeds of Cattle in the State of Goa. It provides financial assistance of ₹80/- per animal per day to Dairy Farmers or Individuals who are bonafide residents of Goa to encourage responsible stall feeding and conservation practices.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Gopal Incentive Scheme,gis,"The ""Gopal Incentive Scheme"" by the Animal Husbandry Department, Government of Madhya Pradesh, promotes the rearing of Indian high-breed cattle and boosts milk production, benefiting animal breeders and livestock farmers with access to Indian advanced breed cows.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Gopal Ratna Award Scheme,gras,"""Gopal Ratna Award Scheme"" intends to appreciate the achievement of Dairy Farmers for the highest individual milk production by undertaking scientific Dairy Farming in the State of Goa and encouraging youth to take up the Dairy Business.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Gopinath Munde Shetkari Apghat Suraksha Sanugrah Audhan Yojana,gopinath-munde-shetkari-apghat-suraksha-sanugrah-audhan-yojana,In order to give financial support to the aggrieved family members of the ill-fated farmers the State Govt. has provided accident claim cover through Gopinath Munde Shetkari Apghat Suraksha Sanugrah Audhan Yojana in the year 2023-24.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Grant for Sex-Sorted Semen to Livestock Farmers,slfsss,The scheme aims to promote breed improvement and increase milk production by encouraging the use of sex-sorted semen for artificial insemination in cows and buffaloes.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Grant of 50% Subsidy for the Purchase of Aquarium and Its Accessories under ""Development of Freshwater Aquaculture and Setting up of Aquarium, Ornamental Fish Breeding Centre""",gspaa-dfwasaofbc,"""Grant of 50% Subsidy for the Purchase of Aquarium and Its Accessories"" is introduced with the objective to propagate the importance of aquarium keeping and to inculcate the art of aquarium keeping among the general public. The scheme is extended to all the regions of Puducherry.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Grant of Subsidy for Procurement of Vehicle,gspv,"""Grant of Subsidy for Procurement of Vehicle"" aims to facilitate the quick transportation of fish catches from landing centers to marketing places, thereby preventing/minimizing spoilage of fish. It provides a 50% subsidy for the procurement of specified vehicles.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Grant of Subsidy for Purchase of 'Electric Vehicles' to Consumers in State of Goa,gspevcsg,"The scheme provides financial assistance in the form of a subsidy for the purchase or conversion of Electric two-wheelers, three-wheelers, and four-wheelers, along with scrapping incentives for old vehicles, incentives for local manufacturing in Goa, and low-cost loans provided by CESL.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Grant of Subsidy for Purchase of Mobile Sea Food Van,gspmsfv,"The scheme aims to provide the beneficiary with a mobile seafood van. This van, financed through a combination of bank loan and departmental subsidy (25% and 75%, respectively), is intended for the sale of fresh and processed fish and fishery products in areas not served by regular markets.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Grant Scheme for Cultivation of Aromatic Plants - Centre for Aromatic Plants,gscap,"The scheme aims to encourage farmers to adopt the cultivation of commercially valuable aromatic crops such as lemongrass, citronella, palmarosa, khus, damask rose, mint (except Japanese mint), geranium, black cumin, rosemary, bay leaf, timur & sandalwood by providing financial assistance to them.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Green House,gh,"Under the Green House Scheme Farmers can get the benefit of subsidy on green house and earn more income by cultivating horticultural crops like vegetables, flowers, fruits etc. by controlling the ago-climatic factors, temperature, humidity and sunlight.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Greenhouse Construction,ghc,"The scheme aims to promote protected cultivation of vegetables and flowers by encouraging farmers to adopt greenhouse technology through substantial financial assistance and support, thereby increasing productivity, improving crop quality, and enhancing farmers’ income.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Green Mahanadi Mission (Odisha),green-mahanadi-mission-odisha,Plantation and environmental conservation programme along the Mahanadi river basin in Odisha involving community participation.,Free saplings for plantation. Wage employment during plantation. Environmental restoration of river basin.,"Communities along Mahanadi river basin in Odisha. Farmers, SHGs, and local bodies.",Participate through gram panchayat or local forest department office.,Aadhaar Card. Land details if applicable.,,state,active,embedded,"{male,female,transgender}",,,,,,,,f,,,,
